Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4986258/4487986   71.410    0.000  160.565    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
2098694/2098630    0.260    0.000    0.260    0.000 {built-in method builtins.len}
  1918800    0.549    0.000    0.562    0.000 {built-in method builtins.getattr}
  1752666    0.296    0.000    0.296    0.000 {method 'items' of 'dict' objects}
  1745088   52.963    0.000   52.963    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1744159    0.997    0.000    0.997    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
  1744159    5.002    0.000   61.868    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
  1723550    0.326    0.000    0.326    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:341(where)
  1723550    2.483    0.000   67.678    0.000 <__array_function__ internals>:177(where)
  1404624    0.260    0.000    0.260    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2302(_any_dispatcher)
  1404624    2.766    0.000   15.542    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2307(any)
  1404624    1.969    0.000   20.709    0.000 <__array_function__ internals>:177(any)
  1040708   13.271    0.000   13.271    0.000 {built-in method numpy.array}
   915772    0.350    0.000    2.166    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/_methods.py:54(_any)
   915723    1.858    0.000    4.022    0.000 {method 'any' of 'numpy.generic' objects}
   603804    0.183    0.000    0.186    0.000 {built-in method builtins.isinstance}
   495451    0.116    0.000    0.116    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   495321    0.398    0.000    2.869    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
   495264    0.073    0.000    0.073    0.000 {built-in method _operator.index}
   495264    0.296    0.000    0.412    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1397(<listcomp>)
   495264    1.599    0.000    2.196    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
   492202    0.082    0.000    0.082    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3210(_around_dispatcher)
   475863    0.354    0.000    0.354    0.000 {built-in method numpy.empty}
   336870    0.077    0.000    0.077    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2157(_sum_dispatcher)
   336870    1.000    0.000   50.199    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2162(sum)
   336870    0.633    0.000   51.574    0.000 <__array_function__ internals>:177(sum)
   252850    0.059    0.000    0.059    0.000 {built-in method numpy.asarray}
   249259    0.050    0.000    0.050    0.000 {method 'random' of '_random.Random' objects}
   247945    0.197    0.000    0.197    0.000 {built-in method builtins.sorted}
   247639    0.230    0.000    0.230    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   247634    0.916    0.000    0.916    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
