Tue Dec 20 09:55:15 2022    output.dat

         38911626 function calls (38190086 primitive calls) in 921.456 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      332  187.035    0.563  217.361    0.655 /home/vbundu/tumor_growth/TumorSim.py:818(Metabolic)
      332  127.302    0.383  151.167    0.455 /home/vbundu/tumor_growth/TumorSim.py:869(TAFEq)
      332  101.631    0.306  110.092    0.332 /home/vbundu/tumor_growth/TumorSim.py:769(Nutrients)
       18   94.928    5.274   94.939    5.274 /home/vbundu/.local/lib/python3.8/site-packages/h5py/_hl/dataset.py:36(make_new_dset)
       17   93.188    5.482  148.982    8.764 /home/vbundu/tumor_growth/TumorSim.py:693(CTP)
4986258/4487986   71.410    0.000  160.565    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1745088   52.963    0.000   52.963    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      133   25.250    0.190   34.713    0.261 /home/vbundu/tumor_growth/TumorSim.py:1102(Spreadhotpoint)
        6   23.670    3.945  122.212   20.369 /home/vbundu/tumor_growth/writetoraw_forAndrea.py:124(write_to_fullanatomy)
224927/12680   21.738    0.000   55.775    0.004 /home/vbundu/tumor_growth/TumorSim.py:524(cellmove_v3)
        1   20.132   20.132  921.456  921.456 /home/vbundu/tumor_growth/TumorSim.py:1150(main)
     1668   13.474    0.008   13.474    0.008 {method '__deepcopy__' of 'numpy.ndarray' objects}
  1040708   13.271    0.000   13.271    0.000 {built-in method numpy.array}
    46422    7.564    0.000    7.564    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      332    6.687    0.020   81.168    0.244 /home/vbundu/tumor_growth/TumorSim.py:920(growth)
      133    6.406    0.048    6.406    0.048 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
       17    5.855    0.344    5.914    0.348 /home/vbundu/tumor_growth/TumorSim.py:744(Gradient)
  1744159    5.002    0.000   61.868    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
   247632    4.102    0.000   10.527    0.000 /home/vbundu/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:5195(insert)
       84    2.838    0.034    2.848    0.034 {built-in method matplotlib._image.resample}
